description;icao;iata;latitude_deg;longitude_deg
Ailinglaplap Airok Airport;AIP;AIC;7.279.422;1.688.257
Chena Hot Springs Airport;AK13;CEX;650.518.035.889;-14.604.699.707
Solomon State Field;AK26;SOL;645.605;-1.644.457
Herendeen Bay Airport;AK33;HED;55.801.399.231;-160.899.002.075
Taylor Airport;AK49;TWE;656.792.984.009;-164.798.995.972
Tikchik Lodge Seaplane Base;AK56;KTH;599.631.996.155;-158.477.005.005
Naukati Bay Seaplane Base;AK62;NKI;55.849.602;-133.227.994
Lonely Air Station;AK71;LNI;7.091.069.794;-1.532.420.044
Candle 2 Airport;AK75;CDL;65.907.699.585;-161.925.994.873
Amook Bay Seaplane Base;AK81;AOS;574.715.003.967;-153.815.002.441
Bartletts Airport;AK96;BSZ;582.162.017.822;-157.352.005.005
Boswell Bay Airport;AK97;BSW;604.230.995.178;-146.145.996.094
Zakuoma Airport;AKM;AKM;108.902.777.778;198.172.222.222
Sharpe Field;AL73;TGE;324.919.013.977;-857.755.966.187
Alitak Seaplane Base;ALZ;ALZ;568.995.018.005;-154.248.001.099
Mar de Cortés International Airport;AMC;PPE;31.351.621;-113.305.864
Alto Molocue Airport;AME;AME;-156.102.777.778;376.813.888.889
Ama Airport;AMF;AMF;-410.111.111.111;141.67
Erase Me 23;Ams;AMS;-0.5;-0.5
Amanab Airport;AMU;AMU;-3.586;141.214.333.333
Ambatomainty Airport;AMY;AMY;-176.866.666.667;45.623.888.888.900.000
Anuha Island Resort Airport;ANH;ANH;-900.138.888.889;160.225
Nauru International Airport;ANYN;INU;-0.547458;166.919.006
Angus Downs Airport;ANZ;ANZ;-250.325;1.322.748
Andulo Airport;AO-0005;ANL;-11.472.299.575.800.000;16.710.899.353
Cangamba Airport;AO-CNZ;CNZ;-137.106;19.861.099
Dirico Airport;AO-DRC;DRC;-17.981.924.057.006.800;207.680.606.842.041
Lumbala Airport;AO-GGC;GGC;-126.398.773.193;225.868.206.024
Jamba Airport;AO-JMB;JMB;-14.698.192.596.435.500;16.070.148.468.017.500
Capanda Airport;AO-KNP;KNP;-976.937.007.904;154.553.194.046
Ndalatandos Airport;AO-NDF;NDF;-9.275.188.446.044.920;14.977.242.469.787.500
Aroa Airport;AOA;AOA;-90.254;146.8
Annanberg Airport;AOB;AOB;-490.416.666.667;144.635.833.333
Abou-Deïa Airport;AOD;AOD;114.773;192.874
Asapa Airport;APP;APP;-897.916.666.667;148.103.611.111
